,Address,lat,lng
399,"ул. Земляной Вал, д. 73",55.745909,37.65602
400,"метро «Маяковская», Тверская улица, дом 31/4, строение 1 и Оружейный1 переулок, дом 3, строение 1",55.770714,37.594288
401,"Земляной Вал ул., д. 73",55.745909,37.65602
402,"Космодамианская наб., д. 24",55.741581,37.640991
403,"Чистопрудный б-р, д. 10, стр. 1",55.762156,37.642357
404,"Сыромятническая Нижняя улица, дом 10",55.752668,37.668893
405,метро «Таганская»,55.739544,37.652957
406,"Большая Татарская улица, дом 35 строение 4",55.736873,37.63606
408,"Тверская улица, дом 6 строение 2",55.761487,37.610772
409,"Тверская улица, дом 6 строение 2",55.761487,37.610772
410,"Тверской бульвар, 13 строение 1",55.760545,37.599462
411,Тверской бульвар 22,55.761452,37.603873
412,Тверской бульвар 9,55.75939,37.598968
413,"Большой Толмачевский переулок, дом 3",55.740071,37.621776
414,"Б.ольшой Трехсвятительский переулок, 3",55.754633,37.646013
415,"Пятницкая ул., д. 20",55.741759,37.628226
416,"Пятницкая ул., д. 34",55.73927,37.628101
417,"улица Садовая-Каретная, дом 20 строение 2",55.772472,37.610871
418,"Петровка ул., д. 24, стр. 1",55.765027,37.617276
419,"Пресненская наб., д. 2",55.74906,37.539347
420,"Фрунзенская набережная, дом 38/1",55.721006,37.584326
421,"Хамовнический Вал, 36",55.722588,37.558391
422,"Хамовнический Вал, 36",55.722588,37.558391
423,"Хамовнический Вал, 36",55.722588,37.558391
424,"Хамовнический Вал, 36",55.722588,37.558391
425,"Цветной бульвар, 25 строение 1, 24/27 (со стороны Садовой-Самотечной)",55.77116,37.62307
426,"Чистопрудный бульвар, 9 строение 1",55.76287,37.643668
428,"Чистопрудный бульвар, 12, корпус 4",55.76134,37.64312
429,"большая Якиманская улица, д. 18",55.738982,37.614797
430,"Цветной б-р, д. 17",55.771661,37.620339
431,"Фрунзенская наб., д. 34",55.722492,37.586203
432,1-я Тверская-Ямская 21-23 строение 1,55.774563,37.587128
433,1-я Тверская-Ямская 21-23 строение 1,55.774563,37.587128
434,"Садовническая ул, дом 33, строение 1",55.745605,37.637596
438,"улица Казакова, дом 8",55.762176,37.662012
439,"Космодамианская набережная, дом 4/22, корп. В",55.745063,37.638835
440,"Космодамианская набережная, дом 4/22, корп. В",55.745063,37.638835
441,"Пятницкая улица, дом 82/34, строение 2",55.730547,37.625478
442,"Петровка, 25",55.766962,37.614276
443,"Петровка, 25",55.766962,37.614276
444,"Чистопрудный бульвар, дом 23, строение 1",55.760276,37.646804
445,"Охотный ряд, д. 2",55.757303,37.616782
446,"Охотный ряд, д. 2",55.757303,37.616782
447,"Валовая улица, 35",55.729366,37.626232
448,"Театральный пр-д, д. 5",55.760195,37.624651
449,"Театральный пр-д, д. 5",55.760195,37.624651
450,"Страстной б-р, д. 15/29, стр. 56",55.768856,37.610206
451,"Страстной б-р, д. 15/29, стр. 56",55.768856,37.610206
452,"Малая Сухаревская пл., д. 12",55.772335,37.631505
453,"Малая Сухаревская пл., д. 12",55.772335,37.631505
454,"Трубная пл-дь, д. 2",55.766491,37.622333
455,"Трубная пл-дь, д. 2",55.766491,37.622333
456,"Садовая-Спасская улица, дом 21/1, метро «Красные Ворота»",55.769423,37.649292
457,"Бульвар Энтузиастов, 2, метро «Площадь Ильича»",55.746405,37.682592
458,"Бульвар Энтузиастов, 2, метро «Площадь Ильича»",55.746405,37.682592
459,"Фрунзенская наб., д. 2",55.734567,37.595716
460,"Фрунзенская наб., д. 2",55.734567,37.595716
461,"Фрунзенская наб., д. 38/1",55.721006,37.584326
462,"Земляной Вал улица, дом 33",55.757339,37.659164
463,"Земляной Вал улица, дом 33",55.757339,37.659164
464,"Фрунзенская набережная, дом 50",55.718659,37.576807
465,"Фрунзенская набережная, дом 50",55.718659,37.576807
466,"Большая Татарская улица, дом 35, строение 4",55.736873,37.63606
467,"Большой Знаменский переулок, д. 19",55.747768,37.602032
468,"Волхонка улица, дом 12",55.747388,37.604816
469,"Зубовский бульвар, дом 4",55.737532,37.590138
470,"Зубовский бульвар, дом 4",55.737532,37.590138
471,"ул. Арбат, д. 15/43",55.751107,37.596857
472,"ул. Арбат, д. 15/43",55.751107,37.596857
473,"улица Лесная, дом 5",55.777783,37.586877
474,"улица Лесная, дом 5",55.777783,37.586877
475,"улица Арбат, дом 1 (Гоголевский бульвар, дом 33)",55.751812,37.599292
476,"улица Арбат, дом 1 (Гоголевский бульвар, дом 33)",55.751812,37.599292
477,"Садовническая улица, дом 33, строение1",55.745605,37.637596
478,"Пречистенская набережная, дом 11",55.73775,37.603496
479,"Пречистенская набережная, дом 11",55.73775,37.603496
480,"метро «Библиотека им. Ленина», улица Воздвиженка , дом 4/7, строение1",55.752607,37.610224
481,"метро Библиотека им. Ленина, улица Воздвиженка , дом4/7, строение1 (№11005)",55.752607,37.610224
482,"метро «Боровицкая», улица Воздвиженка, дом 3/5, строение 2",55.750814,37.608922
483,"метро «Боровицкая», улица Воздвиженка, дом 3/5, строение 2",55.750814,37.608922
484,"метро «Добрынинская», Коровий Вал, дом 1а, строение 1",55.72926,37.621992
485,"метро «Достоевская», Суворовская площадь, дом 2",55.782962,37.613817
486,"метро «Достоевская», Суворовская площадь, дом 2",55.782962,37.613817
487,"метро «Красносельская», Краснопрудная улица, дом 22-24",55.778715,37.665309
